Mess,Month,Meal,Waste_KG,Plates,Waste_Percent,Estimated_Dish
SANNASI,Sep-23,DINNER,5026,149800,3,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
SANNASI,Oct-23,BF,894,69470,1,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
SANNASI,Oct-23,LUNCH,4514,143600,3,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
SANNASI,Oct-23,SNACKS,0,155150,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
SANNASI,Oct-23,DINNER,5478,155150,4,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
SANNASI,Nov-23,BF,1041,66970,2,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
SANNASI,Nov-23,LUNCH,4501,147220,3,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
SANNASI,Nov-23,SNACKS,0,166910,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
SANNASI,Nov-23,DINNER,5820,166910,3,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
SANNASI,Dec-23,BF,694,41510,2,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
SANNASI,Dec-23,LUNCH,3254,85051,4,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
SANNASI,Dec-23,SNACKS,0,78921,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
SANNASI,Dec-23,DINNER,4447,79121,6,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
SANNASI,Jan-24,BF,765,63766,1,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
